site_code;item_raw;item_class;item_ord;grp1;grp2;grp3;grp4;grp5;grp6;grp7
mad;OM;NA;NA;Detritus;Detritus;Detritus;Detritus;Detritus;Detritus;Detritus
mad;Fish_eggs;Actinopterygii;NA;Zooplankton;Fish;Zooplankton;Fish;Zooplankton;Zooplankton;Zooplankton
mad;Foraminifera;NA;NA;Foraminifera;Foraminifera;Foraminifera;Foraminifera;Foraminifera;Foraminifera;Foraminifera
mad;Gastropodes;Gastropoda;NA;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Mollusca
mad;Hydraires;Hydrozoa;NA;Hydrozoa;Hydrozoa;Hydrozoa;Hydrozoa;Hydrozoa;Medusozoa;Medusozoa
mad;Isopods;Malacostraca;Isopoda;Isopoda;Isopoda;Malacostraca;Isopoda;Isopoda;Peracarida;Crustacea
mad;Ostracodes;Ostracoda;NA;Ostracoda;Ostracoda;Ostracoda;Ostracoda;Ostracoda;Zooplankton;Zooplankton
mad;Polychaetes larvae;Polychaeta;NA;Annelida;Polychaeta;Polychaeta;Polychaeta;Annelida;Worm;Worm
mad;Shrimp;Malacostraca;Decapoda;Shrimp;Shrimp;Malacostraca;Shrimp;Decapoda;Decapoda;Crustacea
haw;Algae_diatoms;NA;NA;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
haw;Gammarids;Malacostraca;Amphipoda;Amphipoda;Amphipoda;Malacostraca;Amphipoda;Amphipoda;Peracarida;Crustacea
haw;Bryozoa;NA;NA;Bryozoa;Bryozoa;Bryozoa;Bryozoa;Bryozoa;Bryozoa;Bryozoa
haw;Crab;Malacostraca;Decapoda;Crab;Crab;Malacostraca;Crab;Decapoda;Decapoda;Crustacea
haw;Prosobranch gastropods;Gastropoda;NA;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Mollusca
haw;Prosobranch gastropods eggs;Gastropoda;NA;Zooplankton;Gastropoda;Zooplankton;Gastropoda;Zooplankton;Zooplankton;Zooplankton
haw;Hydroids;Hydrozoa;NA;Hydrozoa;Hydrozoa;Hydrozoa;Hydrozoa;Hydrozoa;Medusozoa;Medusozoa
haw;Insecta;Insecta;NA;Insecta;Insecta;Insecta;Insecta;Insecta;Insecta;Insecta
haw;Sponges;NA;NA;Porifera;Porifera;Porifera;Porifera;Porifera;Porifera;Porifera
haw;Pycnogonids;Pycnogonida;NA;Pycnogonida;Pycnogonida;Pycnogonida;Pycnogonida;Pycnogonida;Pycnogonida;Pycnogonida
haw;Tanaid;Malacostraca;Tanaidacea;Tanaidacea;Tanaidacea;Malacostraca;Tanaidacea;Tanaidacea;Peracarida;Crustacea
mari;Algae_pebbles;NA;NA;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
mari;Algae_filaments;NA;NA;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
mari;Algae_filaments_sand;NA;NA;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
mari;Algae_scrapings_limestone_powder;NA;NA;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
mari;Mites;Arachnida;NA;Arachnida;Arachnida;Arachnida;Arachnida;Arachnida;Arachnida;Arachnida
mari;Pelecypoda_frags;Bivalvia;NA;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Mollusca
mari;Crab_frags;Malacostraca;Decapoda;Crab;Crab;Malacostraca;Crab;Decapoda;Decapoda;Crustacea
mari;Detritus_sand;NA;NA;Detritus;Detritus;Detritus;Detritus;Detritus;Detritus;Detritus
mari;Calcarina_sp;Globothalamea;Rotaliida;Foraminifera;Foraminifera;Foraminifera;Foraminifera;Foraminifera;Foraminifera;Foraminifera
mari;Hydroids;Hydrozoa;NA;Hydrozoa;Hydrozoa;Hydrozoa;Hydrozoa;Hydrozoa;Medusozoa;Medusozoa
mari;Polychaeta;Polychaeta;NA;Annelida;Polychaeta;Polychaeta;Polychaeta;Annelida;Worm;Worm
mari;Shrimp_frags;Malacostraca;Decapoda;Shrimp;Shrimp;Malacostraca;Shrimp;Decapoda;Decapoda;Crustacea
mad;Macroalgae;NA;NA;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
mad;Pelecypodes;Bivalvia;NA;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Mollusca
mad;Cirripèdes;Hexanauplia;NA;Cirripedia;Cirripedia;Hexanauplia;Cirripedia;Cirripedia;Cirripedia;Crustacea
mad;Cirripèdes panaches;Hexanauplia;NA;Cirripedia;Cirripedia;Hexanauplia;Cirripedia;Cirripedia;Cirripedia;Crustacea
mad;Cyclopoida;Hexanauplia;Cyclopoida;Copepoda;Copepoda;Hexanauplia;Copepoda;Copepoda;Copepoda;Crustacea
mad;Debris_OM;NA;NA;Detritus;Detritus;Detritus;Detritus;Detritus;Detritus;Detritus
mad;Fish_larvae;Actinopterygii;NA;Fish;Fish;Actinopterygii;Fish;Actinopterygii;Actinopterygii;Actinopterygii
mad;Fish;Actinopterygii;NA;Fish;Fish;Actinopterygii;Fish;Actinopterygii;Actinopterygii;Actinopterygii
mad;Nematodes;NA;NA;Microfauna;Nematoda;Microfauna;Nematoda;Nematoda;Worm;Worm
mad;Polychaeta;Polychaeta;NA;Annelida;Polychaeta;Polychaeta;Polychaeta;Annelida;Worm;Worm
mad;Shrimp_larvae;Malacostraca;Decapoda;Zooplankton;Shrimp;Zooplankton;Shrimp;Zooplankton;Zooplankton;Zooplankton
mad;Phanerogames;NA;NA;Benthic autotroph;Spermatophyta;Seagrass;Spermatophyta;Seagrass;Benthic autotroph;Benthic autotroph
mad;Ascidies larves;Ascidiacea;NA;Zooplankton;Tunicata;Zooplankton;Tunicata;Zooplankton;Zooplankton;Zooplankton
mad;Ascidies;Ascidiacea;NA;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata
mad;Appendiculaires;Appendicularia;NA;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata
vir;Coelothrix_irregularis;Florideophyceae;Rhodymeniales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Hypnea_musciformis;Florideophyceae;Gigartinales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Laurencia_obtusa;Florideophyceae;Ceramiales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Grateloupia_cuneifolia;Florideophyceae;Halymeniales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Chondria_sp;Florideophyceae;Ceramiales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Heterosiphonia_wurdemanni;Florideophyceae;Ceramiales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Centroceras_clavulatum;Florideophyceae;Ceramiales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Gracilaria_sp;Florideophyceae;Gracilariales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Caulerpa_sertularioides;Ulvophyceae;Bryopsidales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Ceranium_byssoideum;Florideophyceae;Ceramiales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Polysiphonia_ferulacea;Florideophyceae;Ceramiales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Herposiphonia_secunda;Florideophyceae;Ceramiales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Spryridia_filamentosa;Florideophyceae;Ceramiales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Gelidium_pusillum;Florideophyceae;Gelidiales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Ceranium_sp;Florideophyceae;Ceramiales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Bryopsis_sp;Ulvophyceae;Bryopsidales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Gelidium_corneum;Florideophyceae;Gelidiales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Enteromorpha_flexuosa;Ulvophyceae;Ulvales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Ectocarpus_breviarticulatus;Phaeophyceae;Ectocarpales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Enteromorpha_sp;Ulvophyceae;Ulvales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Gelidium_rigidulum;Florideophyceae;Gelidiales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Jania_capillacea;Florideophyceae;Corallinales;Coralline algae;Coralline algae;Coralline algae;Coralline algae;Coralline algae;Coralline algae;Coralline algae
vir;Amphiroa_fragilissima;Florideophyceae;Corallinales;Coralline algae;Coralline algae;Coralline algae;Coralline algae;Coralline algae;Coralline algae;Coralline algae
vir;Jania_sp;Florideophyceae;Corallinales;Coralline algae;Coralline algae;Coralline algae;Coralline algae;Coralline algae;Coralline algae;Coralline algae
vir;Porcellanidae;Malacostraca;Decapoda;Crab;Crab;Malacostraca;Crab;Decapoda;Decapoda;Crustacea
vir;Lyngbya_sp;Cyanophyceae;Oscillatoriales;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria
vir;Calothrix_crustacea;Cyanophyceae;Nostocales;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria
vir;Diatoms;NA;NA;Phytoplankton;Diatoms;Phytoplankton;Diatoms;Phytoplankton;Phytoplankton;Phytoplankton
vir;Gastropoda;Gastropoda;NA;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Mollusca
vir;Hydrozoa;Hydrozoa;NA;Hydrozoa;Hydrozoa;Hydrozoa;Hydrozoa;Hydrozoa;Medusozoa;Medusozoa
vir;Polyplacophores;Polyplacophora;NA;Polyplacophora;Polyplacophora;Polyplacophora;Polyplacophora;Polyplacophora;Polyplacophora;Mollusca
vir;Alcyonaria;Anthozoa;NA;Anthozoa;Alcyonaria;Anthozoa;Alcyonaria;Octocorallia;Anthozoa;Anthozoa
vir;Gastropods;Gastropoda;Neogastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Mollusca
vir;Sponges;NA;NA;Porifera;Porifera;Porifera;Porifera;Porifera;Porifera;Porifera
vir;Alpheids;Malacostraca;Decapoda;Shrimp;Shrimp;Malacostraca;Shrimp;Decapoda;Decapoda;Crustacea
vir;Gnathophyllidae;Malacostraca;Decapoda;Shrimp;Shrimp;Malacostraca;Shrimp;Decapoda;Decapoda;Crustacea
vir;Synalpheus_sp;Malacostraca;Decapoda;Shrimp;Shrimp;Malacostraca;Shrimp;Decapoda;Decapoda;Crustacea
vir;Tunicates;NA;NA;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata
vir;Bunodosoma_granulifera;Anthozoa;Actiniaria;Anthozoa;Actiniaria;Anthozoa;Actiniaria;Anthozoa;Anthozoa;Anthozoa
vir;Phyllactis_flosculifera;Anthozoa;Actiniaria;Anthozoa;Actiniaria;Anthozoa;Actiniaria;Anthozoa;Anthozoa;Anthozoa
vir;Alcyonaria;Anthozoa;Alcyonacea;Anthozoa;Alcyonaria;Anthozoa;Alcyonaria;Octocorallia;Anthozoa;Anthozoa
vir;Halimeda_opuntia;Ulvophyceae;Bryopsidales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Amphipoda;Malacostraca;Amphipoda;Amphipoda;Amphipoda;Malacostraca;Amphipoda;Amphipoda;Peracarida;Crustacea
vir;Pelecypod;Bivalvia;NA;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Mollusca
vir;Bluegreens;NA;NA;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria
vir;Eggs_unid;NA;NA;Zooplankton;Eggs;Zooplankton;Eggs;Zooplankton;Zooplankton;Zooplankton
vir;Pagurus_bonairensis;Malacostraca;Decapoda;Paguroidea;Paguroidea;Malacostraca;Paguroidea;Decapoda;Decapoda;Crustacea
vir;Scyphozoans;Scyphozoa;NA;Scyphozoa;Scyphozoa;Scyphozoa;Scyphozoa;Scyphozoa;Medusozoa;Medusozoa
vir;Thalassia_testudinum;Magnoliopsida;Alismatales;Benthic autotroph;Seagrass;Seagrass;Seagrass;Seagrass;Benthic autotroph;Benthic autotroph
vir;Shrimp;Malacostraca;Decapoda;Shrimp;Shrimp;Malacostraca;Shrimp;Decapoda;Decapoda;Crustacea
vir;Zoanthus_pulchellus;Anthozoa;Zoantharia;Anthozoa;Zoantharia;Anthozoa;Zoantharia;Anthozoa;Anthozoa;Anthozoa
mari;Scraped_Filamentous_algae;NA;NA;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Liagora_ceranoides;Florideophyceae;Nemaliales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Herposiphonia_sp;Florideophyceae;Ceramiales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Eucheuma_echinocarpum;Florideophyceae;Gigartinales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Pocockiella_variegata;Phaeophyceae;Dictyotales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Galaxaura_lapidescens;Florideophyceae;Nemaliales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Ulva_lactuca;Ulvophyceae;Ulvales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Spyridia_filamentosa;Florideophyceae;Ceramiales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Ceramium_byssoideum;Florideophyceae;Ceramiales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Sargassum_sp;Phaeophyceae;Fucales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Rhizoclonium_riparium;Ulvophyceae;Cladophorales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Algae&orgdetritus;NA;NA;Detritus;Detritus;Detritus;Detritus;Detritus;Detritus;Detritus
vir;Halophila_baillonis;Magnoliopsida;Alismatales;Benthic autotroph;Seagrass;Seagrass;Seagrass;Seagrass;Benthic autotroph;Benthic autotroph
vir;Cymodocea_manatorum;Magnoliopsida;Alismatales;Benthic autotroph;Seagrass;Seagrass;Seagrass;Seagrass;Benthic autotroph;Benthic autotroph
vir;Sargassum_platycarpum;Phaeophyceae;Fucales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Ulva_sp;Ulvophyceae;Ulvales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Dictyota_sp;Phaeophyceae;Dictyotales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Spermothamnion_investiens;Florideophyceae;Ceramiales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Wormtube_noncalcareous;NA;NA;NA;NA;NA;NA;NA;Worm;Worm
vir;Corallina_cubensis;Florideophyceae;Corallinales;Coralline algae;Coralline algae;Coralline algae;Coralline algae;Coralline algae;Coralline algae;Coralline algae
vir;Phormidium_sp;Cyanophyceae;Oscillatoriales;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria
vir;Oscillatoria_sp;Cyanophyceae;Oscillatoriales;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria
vir;Anacystis_sp;Cyanophyceae;Chroococcales;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria
vir;Nudibranch eggs;Gastropoda;Nudibranchia;Zooplankton;Gastropoda;Zooplankton;Gastropoda;Zooplankton;Zooplankton;Zooplankton
vir;Gastropods;Gastropoda;NA;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Mollusca
vir;Seagrass;NA;NA;Benthic autotroph;Seagrass;Seagrass;Seagrass;Seagrass;Benthic autotroph;Benthic autotroph
vir;Gorgonian_frags;Anthozoa;Alcyonacea;Anthozoa;Alcyonaria;Anthozoa;Alcyonaria;Octocorallia;Anthozoa;Anthozoa
vir;Dictyosphaeria_favulosa;Ulvophyceae;Cladophorales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Polysiphonia_ferrulacea;Florideophyceae;Ceramiales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Caulerpa_racemosa;Ulvophyceae;Bryopsidales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Cladophora_sp;Ulvophyceae;Cladophorales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Ectocarpus_sp;Phaeophyceae;Ectocarpales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Ceramium_nitens;Florideophyceae;Ceramiales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Halimeda_incressata;Ulvophyceae;Bryopsidales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Spirulina_sp;Cyanophyceae;Spirulinales;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria
vir;Microcoleus_sp;Cyanophyceae;Oscillatoriales;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria
mari;Algae_sand;NA;NA;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
mari;Detritus;NA;NA;Detritus;Detritus;Detritus;Detritus;Detritus;Detritus;Detritus
mari;Algae_fronds_filaments;NA;NA;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
mari;Foraminifera;NA;NA;Foraminifera;Foraminifera;Foraminifera;Foraminifera;Foraminifera;Foraminifera;Foraminifera
mari;Gastropoda;Gastropoda;NA;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Mollusca
mari;Sand;NA;NA;Inorganic;Inorganic;Inorganic;Inorganic;Inorganic;Inorganic;Inorganic
