"","site_code","class","family_cor","fish_sp","genus","sp","nb_sample","nb_guts","nb_empty","item_raw","item_phylum","item_class","item_ord","item_fam","item_gen","item_sp","item_freq","item_volper","time","grp1","grp6"
"13","jap","Actinopterygii","Sphyraenidae","Sphyraena barracuda","Sphyraena","barracuda",5,4,1,"Fish","Chordata","Actinopterygii",NA,NA,NA,NA,1,NA,NA,"Actinopterygii","Actinopterygii"
"14","jap","Actinopterygii","Holocentridae","Neoniphon sammara","Flammeo","sammara",4,4,0,"Alpheid shrimps","Arthropoda","Malacostraca","Decapoda","Alpheidae",NA,NA,0.5,NA,NA,"Shrimp","Decapoda"
"15","jap","Actinopterygii","Holocentridae","Neoniphon sammara","Flammeo","sammara",4,4,0,"Shrimps","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,0.5,NA,NA,"Shrimp","Decapoda"
"16","jap","Actinopterygii","Holocentridae","Neoniphon sammara","Flammeo","sammara",4,4,0,"Crabs","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,0.5,NA,NA,"Brachyura","Decapoda"
"17","jap","Actinopterygii","Holocentridae","Neoniphon sammara","Flammeo","sammara",4,4,0,"Tanaids","Arthropoda","Malacostraca","Tanaidacea",NA,NA,NA,0.25,NA,NA,"Tanaidacea","Zooplankton"
"18","jap","Actinopterygii","Mullidae","Parupeneus barberinus","Parupeneus","barberinus",13,11,2,"Polychaetes sedentary","Annelida","Polychaeta",NA,NA,NA,NA,0.82,NA,NA,"Annelida","Worm"
"19","jap","Actinopterygii","Mullidae","Parupeneus barberinus","Parupeneus","barberinus",13,11,2,"Polychaetes errant","Annelida","Polychaeta",NA,NA,NA,NA,0.64,NA,NA,"Annelida","Worm"
"20","jap","Actinopterygii","Mullidae","Parupeneus barberinus","Parupeneus","barberinus",13,11,2,"Polychaetes sedentary","Annelida","Polychaeta",NA,NA,NA,NA,0.73,NA,NA,"Annelida","Worm"
"21","jap","Actinopterygii","Mullidae","Parupeneus barberinus","Parupeneus","barberinus",13,11,2,"Galatheid crabs","Arthropoda","Malacostraca","Decapoda","Galatheidae",NA,NA,0.18,NA,NA,"Anomura","Decapoda"
"22","jap","Actinopterygii","Mullidae","Parupeneus barberinus","Parupeneus","barberinus",13,11,2,"Crabs","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,0.36,NA,NA,"Brachyura","Decapoda"
"23","jap","Actinopterygii","Mullidae","Parupeneus barberinus","Parupeneus","barberinus",13,11,2,"Tanaids","Arthropoda","Malacostraca","Tanaidacea",NA,NA,NA,0.36,NA,NA,"Tanaidacea","Zooplankton"
"24","jap","Actinopterygii","Mullidae","Parupeneus barberinus","Parupeneus","barberinus",13,11,2,"Foraminifera","Foraminifera",NA,NA,NA,NA,NA,0.36,NA,NA,"Foraminifera","Foraminifera"
"25","jap","Actinopterygii","Mullidae","Parupeneus barberinus","Parupeneus","barberinus",13,11,2,"Calanoid copepods","Arthropoda","Hexanauplia","Calanoida",NA,NA,NA,0.27,NA,NA,"Copepoda","Zooplankton"
"26","jap","Actinopterygii","Mullidae","Parupeneus barberinus","Parupeneus","barberinus",13,11,2,"Xanthid crabs","Arthropoda","Malacostraca","Decapoda","Xanthidae",NA,NA,0.09,NA,NA,"Brachyura","Decapoda"
"27","jap","Actinopterygii","Mullidae","Parupeneus barberinus","Parupeneus","barberinus",13,11,2,"Harpacticoid copepods","Arthropoda","Hexanauplia","Harpacticoida",NA,NA,NA,0.27,NA,NA,"Copepoda","Zooplankton"
"28","jap","Actinopterygii","Mullidae","Parupeneus barberinus","Parupeneus","barberinus",13,11,2,"Ostracods","Arthropoda","Ostracoda",NA,NA,NA,NA,0.18,NA,NA,"Ostracoda","Zooplankton"
"29","jap","Actinopterygii","Mullidae","Parupeneus barberinus","Parupeneus","barberinus",13,11,2,"Gastropods","Mollusca","Gastropoda",NA,NA,NA,NA,0.09,NA,NA,"Gastropoda","Gastropoda"
"30","jap","Actinopterygii","Mullidae","Parupeneus barberinus","Parupeneus","barberinus",13,11,2,"Hyperiid amphipods","Arthropoda","Malacostraca","Amphipoda","Hyperiidae",NA,NA,0.09,NA,NA,"Amphipoda","Zooplankton"
"31","jap","Actinopterygii","Mullidae","Parupeneus barberinus","Parupeneus","barberinus",13,11,2,"Sand",NA,NA,NA,NA,NA,NA,0.73,NA,NA,"Inorganic","Inorganic"
"32","jap","Actinopterygii","Mullidae","Parupeneus barberinus","Parupeneus","barberinus",13,11,2,"Coral_skeleton_frags","Cnidaria","Anthozoa","Scleractinia",NA,NA,NA,0.18,NA,NA,"Scleractinia","Anthozoa"
"33","jap","Actinopterygii","Mullidae","Parupeneus spilurus","Parupeneus","spilurus",33,28,5,"Crabs","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,0.61,NA,NA,"Brachyura","Decapoda"
"34","jap","Actinopterygii","Mullidae","Parupeneus spilurus","Parupeneus","spilurus",33,28,5,"Gammaridean amphipods","Arthropoda","Malacostraca","Amphipoda","Gammaridae",NA,NA,0.5,NA,NA,"Amphipoda","Zooplankton"
"35","jap","Actinopterygii","Mullidae","Parupeneus spilurus","Parupeneus","spilurus",33,28,5,"Xanthid crabs","Arthropoda","Malacostraca","Decapoda","Xanthidae",NA,NA,0.32,NA,NA,"Brachyura","Decapoda"
"36","jap","Actinopterygii","Mullidae","Parupeneus spilurus","Parupeneus","spilurus",33,28,5,"Portunid crabs","Arthropoda","Malacostraca","Decapoda","Portunidae",NA,NA,0.32,NA,NA,"Brachyura","Decapoda"
"37","jap","Actinopterygii","Mullidae","Parupeneus spilurus","Parupeneus","spilurus",33,28,5,"Fish","Chordata","Actinopterygii",NA,NA,NA,NA,0.25,NA,NA,"Actinopterygii","Actinopterygii"
"38","jap","Actinopterygii","Mullidae","Parupeneus spilurus","Parupeneus","spilurus",33,28,5,"Shrimps","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,0.29,NA,NA,"Shrimp","Decapoda"
"39","jap","Actinopterygii","Mullidae","Parupeneus spilurus","Parupeneus","spilurus",33,28,5,"Isopods","Arthropoda","Malacostraca","Isopoda",NA,NA,NA,0.39,NA,NA,"Isopoda","Zooplankton"
"40","jap","Actinopterygii","Mullidae","Parupeneus spilurus","Parupeneus","spilurus",33,28,5,"Stomatopods","Arthropoda","Malacostraca","Stomatopoda",NA,NA,NA,0.18,NA,NA,"Stomatopoda","Stomatopoda"
"41","jap","Actinopterygii","Mullidae","Parupeneus spilurus","Parupeneus","spilurus",33,28,5,"Crab_megalopa","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,0.21,NA,NA,"Zooplankton","Zooplankton"
"42","jap","Actinopterygii","Mullidae","Parupeneus spilurus","Parupeneus","spilurus",33,28,5,"Alpheid shrimps","Arthropoda","Malacostraca","Decapoda","Alpheidae",NA,NA,0.07,NA,NA,"Shrimp","Decapoda"
"43","jap","Actinopterygii","Mullidae","Parupeneus spilurus","Parupeneus","spilurus",33,28,5,"Galatheid crabs","Arthropoda","Malacostraca","Decapoda","Galatheidae",NA,NA,0.14,NA,NA,"Anomura","Decapoda"
"44","jap","Actinopterygii","Mullidae","Parupeneus spilurus","Parupeneus","spilurus",33,28,5,"Gobiid fish","Chordata","Actinopterygii","Perciformes","Gobiidae",NA,NA,0.07,NA,NA,"Actinopterygii","Actinopterygii"
"45","jap","Actinopterygii","Mullidae","Parupeneus spilurus","Parupeneus","spilurus",33,28,5,"Fish_eggs","Chordata","Actinopterygii",NA,NA,NA,NA,0.11,NA,NA,"Zooplankton","Zooplankton"
"46","jap","Actinopterygii","Mullidae","Parupeneus spilurus","Parupeneus","spilurus",33,28,5,"Calanoid copepods","Arthropoda","Hexanauplia","Calanoida",NA,NA,NA,0.04,NA,NA,"Copepoda","Zooplankton"
"47","jap","Actinopterygii","Mullidae","Parupeneus spilurus","Parupeneus","spilurus",33,28,5,"Harpacticoid copepods","Arthropoda","Hexanauplia","Harpacticoida",NA,NA,NA,0.18,NA,NA,"Copepoda","Zooplankton"
"48","jap","Actinopterygii","Mullidae","Parupeneus spilurus","Parupeneus","spilurus",33,28,5,"Foraminifera","Foraminifera",NA,NA,NA,NA,NA,0.14,NA,NA,"Foraminifera","Foraminifera"
"49","jap","Actinopterygii","Mullidae","Parupeneus spilurus","Parupeneus","spilurus",33,28,5,"Tanaids","Arthropoda","Malacostraca","Tanaidacea",NA,NA,NA,0.11,NA,NA,"Tanaidacea","Zooplankton"
"50","jap","Actinopterygii","Mullidae","Parupeneus spilurus","Parupeneus","spilurus",33,28,5,"Annelids","Annelida","Polychaeta",NA,NA,NA,NA,0.11,NA,NA,"Annelida","Worm"
"51","jap","Actinopterygii","Mullidae","Parupeneus spilurus","Parupeneus","spilurus",33,28,5,"Polychaetes errant","Annelida","Polychaeta",NA,NA,NA,NA,0.07,NA,NA,"Annelida","Worm"
"52","jap","Actinopterygii","Mullidae","Parupeneus spilurus","Parupeneus","spilurus",33,28,5,"Gastropods","Mollusca","Gastropoda",NA,NA,NA,NA,0.07,NA,NA,"Gastropoda","Gastropoda"
"53","jap","Actinopterygii","Mullidae","Parupeneus spilurus","Parupeneus","spilurus",33,28,5,"Ophiuroids","Echinodermata","Ophiuroidea",NA,NA,NA,NA,0.07,NA,NA,"Ophiuroidea","Ophiuroidea"
"54","jap","Actinopterygii","Mullidae","Parupeneus spilurus","Parupeneus","spilurus",33,28,5,"Algae_fronds",NA,NA,NA,NA,NA,NA,0.04,NA,NA,"Algae","Benthic autotroph"
"55","jap","Actinopterygii","Mullidae","Parupeneus spilurus","Parupeneus","spilurus",33,28,5,"Majid crabs","Arthropoda","Malacostraca","Decapoda","Majidae",NA,NA,0.04,NA,NA,"Brachyura","Decapoda"
"56","jap","Actinopterygii","Mullidae","Parupeneus spilurus","Parupeneus","spilurus",33,28,5,"Mysids","Arthropoda","Malacostraca","Mysida",NA,NA,NA,0.04,NA,NA,"Mysida","Zooplankton"
"57","jap","Actinopterygii","Mullidae","Parupeneus spilurus","Parupeneus","spilurus",33,28,5,"Ostracods","Arthropoda","Ostracoda",NA,NA,NA,NA,0.04,NA,NA,"Ostracoda","Zooplankton"
"58","jap","Actinopterygii","Mullidae","Parupeneus spilurus","Parupeneus","spilurus",33,28,5,"Sand",NA,NA,NA,NA,NA,NA,0.14,NA,NA,"Inorganic","Inorganic"
"59","jap","Actinopterygii","Mullidae","Parupeneus trifasciatus","Parupeneus","trifasciatus",26,25,1,"Shrimps","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,0.64,NA,NA,"Shrimp","Decapoda"
"60","jap","Actinopterygii","Mullidae","Parupeneus trifasciatus","Parupeneus","trifasciatus",26,25,1,"Galatheid crabs","Arthropoda","Malacostraca","Decapoda","Galatheidae",NA,NA,0.6,NA,NA,"Anomura","Decapoda"
"61","jap","Actinopterygii","Mullidae","Parupeneus trifasciatus","Parupeneus","trifasciatus",26,25,1,"Isopods","Arthropoda","Malacostraca","Isopoda",NA,NA,NA,0.24,NA,NA,"Isopoda","Zooplankton"
"62","jap","Actinopterygii","Mullidae","Parupeneus trifasciatus","Parupeneus","trifasciatus",26,25,1,"Crabs","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,0.24,NA,NA,"Brachyura","Decapoda"
"63","jap","Actinopterygii","Mullidae","Parupeneus trifasciatus","Parupeneus","trifasciatus",26,25,1,"Calanoid copepods","Arthropoda","Hexanauplia","Calanoida",NA,NA,NA,0.2,NA,NA,"Copepoda","Zooplankton"
"64","jap","Actinopterygii","Mullidae","Parupeneus trifasciatus","Parupeneus","trifasciatus",26,25,1,"Gammaridean amphipods","Arthropoda","Malacostraca","Amphipoda","Gammaridae",NA,NA,0.36,NA,NA,"Amphipoda","Zooplankton"
"65","jap","Actinopterygii","Mullidae","Parupeneus trifasciatus","Parupeneus","trifasciatus",26,25,1,"Harpacticoid copepods","Arthropoda","Hexanauplia","Harpacticoida",NA,NA,NA,0.4,NA,NA,"Copepoda","Zooplankton"
"66","jap","Actinopterygii","Mullidae","Parupeneus trifasciatus","Parupeneus","trifasciatus",26,25,1,"Portunid crabs","Arthropoda","Malacostraca","Decapoda","Portunidae",NA,NA,0.16,NA,NA,"Brachyura","Decapoda"
"67","jap","Actinopterygii","Mullidae","Parupeneus trifasciatus","Parupeneus","trifasciatus",26,25,1,"Xanthid crabs","Arthropoda","Malacostraca","Decapoda","Xanthidae",NA,NA,0.08,NA,NA,"Brachyura","Decapoda"
"68","jap","Actinopterygii","Mullidae","Parupeneus trifasciatus","Parupeneus","trifasciatus",26,25,1,"Crab_megalopa","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,0.24,NA,NA,"Zooplankton","Zooplankton"
"69","jap","Actinopterygii","Mullidae","Parupeneus trifasciatus","Parupeneus","trifasciatus",26,25,1,"Fish","Chordata","Actinopterygii",NA,NA,NA,NA,0.04,NA,NA,"Actinopterygii","Actinopterygii"
"70","jap","Actinopterygii","Mullidae","Parupeneus trifasciatus","Parupeneus","trifasciatus",26,25,1,"Caprellid amphipods","Arthropoda","Malacostraca","Amphipoda","Caprellidae",NA,NA,0.2,NA,NA,"Amphipoda","Zooplankton"
"71","jap","Actinopterygii","Mullidae","Parupeneus trifasciatus","Parupeneus","trifasciatus",26,25,1,"Foraminifera","Foraminifera",NA,NA,NA,NA,NA,0.16,NA,NA,"Foraminifera","Foraminifera"
"72","jap","Actinopterygii","Mullidae","Parupeneus trifasciatus","Parupeneus","trifasciatus",26,25,1,"Mysids","Arthropoda","Malacostraca","Mysida",NA,NA,NA,0.08,NA,NA,"Mysida","Zooplankton"
"73","jap","Actinopterygii","Mullidae","Parupeneus trifasciatus","Parupeneus","trifasciatus",26,25,1,"Shrimp_larvae","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,0.08,NA,NA,"Zooplankton","Zooplankton"
"74","jap","Actinopterygii","Mullidae","Parupeneus trifasciatus","Parupeneus","trifasciatus",26,25,1,"Tanaids","Arthropoda","Malacostraca","Tanaidacea",NA,NA,NA,0.08,NA,NA,"Tanaidacea","Zooplankton"
"75","jap","Actinopterygii","Mullidae","Parupeneus trifasciatus","Parupeneus","trifasciatus",26,25,1,"Fish_eggs","Chordata","Actinopterygii",NA,NA,NA,NA,0.04,NA,NA,"Zooplankton","Zooplankton"
"76","jap","Actinopterygii","Mullidae","Parupeneus trifasciatus","Parupeneus","trifasciatus",26,25,1,"Fish_scales","Chordata","Actinopterygii",NA,NA,NA,NA,0.04,NA,NA,"Actinopterygii","Actinopterygii"
"77","jap","Actinopterygii","Mullidae","Parupeneus trifasciatus","Parupeneus","trifasciatus",26,25,1,"Sand",NA,NA,NA,NA,NA,NA,0.2,NA,NA,"Inorganic","Inorganic"
"78","jap","Actinopterygii","Mullidae","Upeneus tragula","Upeneus","tragula",5,5,0,"Portunid crabs","Arthropoda","Malacostraca","Decapoda","Portunidae",NA,NA,0.8,NA,NA,"Brachyura","Decapoda"
"79","jap","Actinopterygii","Mullidae","Upeneus tragula","Upeneus","tragula",5,5,0,"Shrimps","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,0.4,NA,NA,"Shrimp","Decapoda"
"80","jap","Actinopterygii","Mullidae","Upeneus tragula","Upeneus","tragula",5,5,0,"Crab_megalopa","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,0.4,NA,NA,"Zooplankton","Zooplankton"
"81","jap","Actinopterygii","Mullidae","Upeneus tragula","Upeneus","tragula",5,5,0,"Calappid crabs","Arthropoda","Malacostraca","Decapoda","Calappidae",NA,NA,0.2,NA,NA,"Brachyura","Decapoda"
"82","jap","Actinopterygii","Mullidae","Upeneus tragula","Upeneus","tragula",5,5,0,"Calanoid copepods","Arthropoda","Hexanauplia","Calanoida",NA,NA,NA,0.2,NA,NA,"Copepoda","Zooplankton"
"83","jap","Actinopterygii","Apogonidae","Ostorhinchus aroubiensis","Apogon","aroubiensis",10,4,6,"Gammaridean amphipods","Arthropoda","Malacostraca","Amphipoda","Gammaridae",NA,NA,0.25,NA,NA,"Amphipoda","Zooplankton"
"84","jap","Actinopterygii","Apogonidae","Ostorhinchus aroubiensis","Apogon","aroubiensis",10,4,6,"Fish_eggs","Chordata","Actinopterygii",NA,NA,NA,NA,0.25,NA,NA,"Zooplankton","Zooplankton"
"85","jap","Actinopterygii","Apogonidae","Ostorhinchus aroubiensis","Apogon","aroubiensis",10,4,6,"Polychaetes errant","Annelida","Polychaeta",NA,NA,NA,NA,0.25,NA,NA,"Annelida","Worm"
"86","jap","Actinopterygii","Apogonidae","Ostorhinchus aroubiensis","Apogon","aroubiensis",10,4,6,"Isopods","Arthropoda","Malacostraca","Isopoda",NA,NA,NA,0.25,NA,NA,"Isopoda","Zooplankton"
"87","jap","Actinopterygii","Apogonidae","Ostorhinchus cyanosoma","Apogon","cyanosoma",32,15,17,"Gammaridean amphipods","Arthropoda","Malacostraca","Amphipoda","Gammaridae",NA,NA,0.27,NA,NA,"Amphipoda","Zooplankton"
"88","jap","Actinopterygii","Apogonidae","Ostorhinchus cyanosoma","Apogon","cyanosoma",32,15,17,"Shrimps","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,0.2,NA,NA,"Shrimp","Decapoda"
"89","jap","Actinopterygii","Apogonidae","Ostorhinchus cyanosoma","Apogon","cyanosoma",32,15,17,"Polychaetes errant","Annelida","Polychaeta",NA,NA,NA,NA,0.13,NA,NA,"Annelida","Worm"
"90","jap","Actinopterygii","Apogonidae","Ostorhinchus cyanosoma","Apogon","cyanosoma",32,15,17,"Tanaids","Arthropoda","Malacostraca","Tanaidacea",NA,NA,NA,0.2,NA,NA,"Tanaidacea","Zooplankton"
"91","jap","Actinopterygii","Apogonidae","Ostorhinchus cyanosoma","Apogon","cyanosoma",32,15,17,"Cumaceans","Arthropoda","Malacostraca","Cumacea",NA,NA,NA,0.07,NA,NA,"Cumacea","Zooplankton"
"92","jap","Actinopterygii","Apogonidae","Ostorhinchus cyanosoma","Apogon","cyanosoma",32,15,17,"Harpacticoid copepods","Arthropoda","Hexanauplia","Harpacticoida",NA,NA,NA,0.33,NA,NA,"Copepoda","Zooplankton"
"93","jap","Actinopterygii","Apogonidae","Ostorhinchus cyanosoma","Apogon","cyanosoma",32,15,17,"Calanoid copepods","Arthropoda","Hexanauplia","Calanoida",NA,NA,NA,0.13,NA,NA,"Copepoda","Zooplankton"
"94","jap","Actinopterygii","Apogonidae","Ostorhinchus cyanosoma","Apogon","cyanosoma",32,15,17,"Fish_eggs","Chordata","Actinopterygii",NA,NA,NA,NA,0.07,NA,NA,"Zooplankton","Zooplankton"
"95","jap","Actinopterygii","Apogonidae","Nectamia fusca","Apogon","nubilus",33,22,11,"Gammaridean amphipods","Arthropoda","Malacostraca","Amphipoda","Gammaridae",NA,NA,0.55,NA,NA,"Amphipoda","Zooplankton"
"96","jap","Actinopterygii","Apogonidae","Nectamia fusca","Apogon","nubilus",33,22,11,"Polychaetes errant","Annelida","Polychaeta",NA,NA,NA,NA,0.32,NA,NA,"Annelida","Worm"
"97","jap","Actinopterygii","Apogonidae","Nectamia fusca","Apogon","nubilus",33,22,11,"Shrimps","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,0.41,NA,NA,"Shrimp","Decapoda"
"98","jap","Actinopterygii","Apogonidae","Nectamia fusca","Apogon","nubilus",33,22,11,"Isopods","Arthropoda","Malacostraca","Isopoda",NA,NA,NA,0.23,NA,NA,"Isopoda","Zooplankton"
"99","jap","Actinopterygii","Apogonidae","Nectamia fusca","Apogon","nubilus",33,22,11,"Crab_megalopa","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,0.32,NA,NA,"Zooplankton","Zooplankton"
"100","jap","Actinopterygii","Apogonidae","Nectamia fusca","Apogon","nubilus",33,22,11,"Calanoid copepods","Arthropoda","Hexanauplia","Calanoida",NA,NA,NA,0.27,NA,NA,"Copepoda","Zooplankton"
"101","jap","Actinopterygii","Apogonidae","Nectamia fusca","Apogon","nubilus",33,22,11,"Fish_eggs","Chordata","Actinopterygii",NA,NA,NA,NA,0.14,NA,NA,"Zooplankton","Zooplankton"
"102","jap","Actinopterygii","Apogonidae","Nectamia fusca","Apogon","nubilus",33,22,11,"Stomatopods","Arthropoda","Malacostraca","Stomatopoda",NA,NA,NA,0.09,NA,NA,"Stomatopoda","Stomatopoda"
"103","jap","Actinopterygii","Apogonidae","Nectamia fusca","Apogon","nubilus",33,22,11,"Mysids","Arthropoda","Malacostraca","Mysida",NA,NA,NA,0.05,NA,NA,"Mysida","Zooplankton"
"104","jap","Actinopterygii","Apogonidae","Nectamia fusca","Apogon","nubilus",33,22,11,"Cirripedia_larvae","Arthropoda","Hexanauplia",NA,NA,NA,NA,0.05,NA,NA,"Cirripedia","Zooplankton"
"105","jap","Actinopterygii","Apogonidae","Nectamia fusca","Apogon","nubilus",33,22,11,"Fish_larvae","Chordata","Actinopterygii",NA,NA,NA,NA,0.05,NA,NA,"Zooplankton","Zooplankton"
"106","jap","Actinopterygii","Apogonidae","Nectamia fusca","Apogon","nubilus",33,22,11,"Cumaceans","Arthropoda","Malacostraca","Cumacea",NA,NA,NA,0.09,NA,NA,"Cumacea","Zooplankton"
"107","jap","Actinopterygii","Apogonidae","Nectamia fusca","Apogon","nubilus",33,22,11,"Ostracods","Arthropoda","Ostracoda",NA,NA,NA,NA,0.09,NA,NA,"Ostracoda","Zooplankton"
"108","jap","Actinopterygii","Apogonidae","Nectamia fusca","Apogon","nubilus",33,22,11,"Harpacticoid copepods","Arthropoda","Hexanauplia","Harpacticoida",NA,NA,NA,0.05,NA,NA,"Copepoda","Zooplankton"
"109","jap","Actinopterygii","Apogonidae","Nectamia fusca","Apogon","nubilus",33,22,11,"Monstrilloid copepods","Arthropoda","Hexanauplia","Monstrilloida",NA,NA,NA,0.05,NA,NA,"Copepoda","Zooplankton"
"110","jap","Actinopterygii","Apogonidae","Ostorhinchus cookii","Apogon","robustus",11,8,3,"Crabs","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,0.5,NA,NA,"Brachyura","Decapoda"
"111","jap","Actinopterygii","Apogonidae","Ostorhinchus cookii","Apogon","robustus",11,8,3,"Alpheid shrimps","Arthropoda","Malacostraca","Decapoda","Alpheidae",NA,NA,0.25,NA,NA,"Shrimp","Decapoda"
"112","jap","Actinopterygii","Apogonidae","Ostorhinchus cookii","Apogon","robustus",11,8,3,"Isopods","Arthropoda","Malacostraca","Isopoda",NA,NA,NA,0.25,NA,NA,"Isopoda","Zooplankton"
"113","jap","Actinopterygii","Apogonidae","Ostorhinchus cookii","Apogon","robustus",11,8,3,"Shrimps","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,0.38,NA,NA,"Shrimp","Decapoda"
"114","jap","Actinopterygii","Apogonidae","Ostorhinchus cookii","Apogon","robustus",11,8,3,"Gammaridean amphipods","Arthropoda","Malacostraca","Amphipoda","Gammaridae",NA,NA,0.25,NA,NA,"Amphipoda","Zooplankton"
"115","jap","Actinopterygii","Apogonidae","Ostorhinchus cookii","Apogon","robustus",11,8,3,"Fish_eggs","Chordata","Actinopterygii",NA,NA,NA,NA,0.13,NA,NA,"Zooplankton","Zooplankton"
"116","jap","Actinopterygii","Apogonidae","Ostorhinchus cookii","Apogon","robustus",11,8,3,"Tanaids","Arthropoda","Malacostraca","Tanaidacea",NA,NA,NA,0.25,NA,NA,"Tanaidacea","Zooplankton"
"117","jap","Actinopterygii","Apogonidae","Ostorhinchus cookii","Apogon","robustus",11,8,3,"Cyclopoid copepods","Arthropoda","Hexanauplia","Cyclopoida",NA,NA,NA,0.13,NA,NA,"Copepoda","Zooplankton"
"118","jap","Actinopterygii","Apogonidae","Ostorhinchus cookii","Apogon","robustus",11,8,3,"Cumaceans","Arthropoda","Malacostraca","Cumacea",NA,NA,NA,0.13,NA,NA,"Cumacea","Zooplankton"
"119","jap","Actinopterygii","Apogonidae","Ostorhinchus cookii","Apogon","robustus",11,8,3,"Coral_frags","Cnidaria","Anthozoa","Scleractinia",NA,NA,NA,0.13,NA,NA,"Scleractinia","Anthozoa"
"120","jap","Actinopterygii","Apogonidae","Cheilodipterus quinquelineatus","Cheilodipterus","quinquelineatus",18,10,8,"Fish","Chordata","Actinopterygii",NA,NA,NA,NA,0.4,NA,NA,"Actinopterygii","Actinopterygii"
"121","jap","Actinopterygii","Apogonidae","Cheilodipterus quinquelineatus","Cheilodipterus","quinquelineatus",18,10,8,"Shrimps","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,0.3,NA,NA,"Shrimp","Decapoda"
"122","jap","Actinopterygii","Apogonidae","Cheilodipterus quinquelineatus","Cheilodipterus","quinquelineatus",18,10,8,"Galatheid crabs","Arthropoda","Malacostraca","Decapoda","Galatheidae",NA,NA,0.1,NA,NA,"Anomura","Decapoda"
